SMILES,CID
[O-][N+](=O)c1ccc(Cl)cc1,7474
Nc1ccc(cc1)[N+]([O-])=O,7475
Oc1ccc(cc1)[N+]([O-])=O,980
COc1ccc(cc1)C(C)=O,7476
COc1ccc(cc1)C(O)=O,7478
CN(C)c1ccc(C=O)cc1,7479
[O-][N+](=O)c1ccc(CBr)cc1,66011
CCc1ccc(cc1)[N+]([O-])=O,7480
[O-][N+](=O)c1ccc(CCl)cc1,7482
NNc1ccc(cc1)[N+]([O-])=O,3310889
COc1ccc(cc1)[N+]([O-])=O,7485
CC(C)c1ccc(cc1)C(C)C,7486
ClC(=O)c1ccc(cc1)C(Cl)=O,7488
OC(=O)c1ccc(cc1)C(O)=O,7489
[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O,7492
[O-][N+](=O)c1ccc(cc1)N=C=O,66012
CCN(CC)CCN,60993
CCN(CC)CCO,7497
CCN(CC)CCS,16032
C=CC1CCC=CC1,7499
CCc1ccccc1,7500
C=Cc1ccccc1,7501
C=Cc1ccncc1,7502
ClCc1ccccc1,7503
NCc1ccccc1,7504
N#Cc1ccccc1,7505
N#Cc1ccncc1,7506
O=CC1CCC=CC1,7508
OCc1ccccc1,244
O=Cc1ccccc1,240
N#Cc1cccnc1,79
OCc1cccnc1,7510
Cl[Hg]c1ccccc1,7511
CNC1CCCCC1,7514
CNc1ccccc1,7515
[H+].[Cl-].NNc1ccccc1,60962
ON=C1CCCCC1,7517
COc1ccccc1,7519
CSc1ccccc1,7520
C=Cc1ccccn1,7521
N#Cc1ccccn1,7522
CCc1ccccn1,7523
CCN1CCOCC1,7525
CC1(C)OCC(CO)O1,7528
Oc1cccc(C=O)c1,101
[OH-].C[N+](C)(C)Cc1ccccc1,66854
CC(C)(O)Cc1ccccc1,7531
O[S](=O)(=O)NC1CCCCC1,7533
[Cl-].C[N+](C)(Cc1ccccc1)Cc2ccccc2,101569
C1N2CN3CN1CN(C2)C3,4101
CCCC[Si](C)(C)Cl,66079
CC1=CC(=O)NO1,24781
[K+].COc1c(Cl)ccc(Cl)c1C([O-])=O,23679265
OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC1C(O)C2O,320760
CCC#CCCO,66083
CCCC[Sn]CCCC,6484
[Na+].CCCCCCCCCC([O-])=O,4457968
CCOCCOCCOC,13847
CCCCCCCC(OC)OC,61431
[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24798
[Cd++].O[N+]([O-])=O.O[N+]([O-])=O,24800
CCCCCOC1OC(CO)C(O)C(O)C1O,113556
[Cl-].[Cl-].[Cl-].[Nd+3],66204
[Cl-].[Cl-].[Pt++],2770
O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Cr+3],104957
[Cl-].[Cl-].[Cl-].[Dy+3],66207
Cl[Si](Cl)Cl,140487
[Cl-].[Cl-].[Cl-].[In+3],24812
[Cl-].[Cl-].[Cl-].[Ir+3],25563
Cl[P](Cl)(Cl)=O,24813
Cl[Se](Cl)(Cl)Cl,66205
Cl[Te](Cl)(Cl)Cl,61443
[Cl-].[Cl-].[Cl-].[Cl-].[Th+4],66209
[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4],24817
[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Nb+5],24818
O=[O]=O,24823
[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,24826
NC1CCCC1,2906
CCCC1CO1,13853
Cc1ncoc1C#N,70480
O.O.O.O.O.O.[Eu+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N](=O)=O,202256
CCOc1ccc(C=O)cc1,24834
[Mg++].[O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O,24840
NN.O[S](O)(=O)=O,24842
[H+].[Br-],260
[NH3+]O.[NH3+]O.[O-][S]([O-])(=O)=O,24846
CC1=CC(=O)C=C(C)O1,13862
Nc1cc(N)nc(N)n1,13863
CCCCCC(CO)CCC,24847
[Sr++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24848
[Na+].OC(=O)CN(CC(O)=O)CC([O-])=O,23674482
O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Tb+3],203091
[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,24403
[Al+3].[K+].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,24856
[K+].[O-]C(=O)C([O-])=O,159253
[Cl-].[Cl-].[Ca++],24854
[NH4+].[NH4+].[Fe++].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,24863
[Hg++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24864
[Nd+3].O[N+]([O-])=O.O[N+]([O-])=O.O[N+]([O-])=O,159254
COc1cc2O[C@H]3OC=C[C@H]3c2c4Oc5cccc(O)c5C(=O)c14,5280389
[O-][Cl]=O,197148
[Cl-].[Cl-].[Cr++],24871
[Cl-].[Cl-].[Cl-].[Rh+3],24872
[Cl-].[Cl-].[Cl-].[Ru+3],61850
OCCN(CCO)CCO.OB(O)O,160912
CCOC(=O)C1=CN(c2ccc(F)cc2F)c3nc(Cl)c(F)cc3C1=O,1268243
[Na+].CCCCCC([O-])=O,4087444
ClC\C=C/Cl,5280970
CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,1617113
CCNc1nc(N)nc(Cl)n1,13878
CNC(=O)Nc1ccccc1,13880
Brc1ccc2[nH]ccc2c1,24905
COC(=O)c1c(Cl)nn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,91763
CC1CC2CCCCC2CC1C,13885
c1ccc(cc1)c2cccnc2,13886
c1ccc(cc1)c2ccccn2,13887
Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1,667639
CCCCC(=O)c1ccccc1,66093
C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,66094
CC(=O)OO.OO,180934
CN(C)C(=O)Nc1ccc(Cc2ccc(NC(=O)N(C)C)cc2)cc1,305607
O.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O.C[C@H]5COc6c(N7CCN(C)CC7)c(F)cc8C(=O)C(=CN5c68)C(O)=O,3033924
O.O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[La+3],165791
[La+3].O[N+]([O-])=O.O[N+]([O-])=O.O[N+]([O-])=O,24918
[Cl-].[Cl-].[Cl-].[Lu+3],24919
[Lu+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,24920
[Pb++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24924
O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3,7540
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,7541
CCCCC(CC)CN(CCO)CC(CC)CCCC,101571
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,7543
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,7547
CC(C)OC(=O)Nc1cccc(Cl)c1,2728
O=NN1CN2CN(C1)CN(C2)N=O,7549
ClCC#CCOC(=O)Nc1cccc(Cl)c1,7551
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,154417
CCCCCCC(C/C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C\CC(CCCCCC)OC(C)=O)OC(=O)CCCCCCC\C=C\CC(CCCCCC)OC(C)=O)OC(C)=O,5462724
COC(=O)Cc1ccccc1,7559
CN(C)C(=O)Nc1ccccc1,7560
CC(=C)C(=O)OC1CCCCC1,7561
COC(Cc1ccccc1)OC,60995
Oc1ccc(Cc2ccccc2)cc1,7563
